Time(s),Net_Receive(MB/s),CPU_Util(%),Disk_WR(0.1*MB/s),Mem_Util(0.01*MB),StateBridgeMem(Bytes),OWControllerMem(MB)
368,0.584425,32.180,0.314453,32.50,68.00,774.00
369,0.251371,20.590,0.130859,32.64,68.00,774.00
370,0.1478,24.950,0.146875,33.15,68.00,774.00
371,0.144867,26.609,0.180078,32.98,68.00,774.00
372,0.369339,33.907,0.608984,32.98,68.00,774.00
373,0.411316,36.132,1.06484,32.80,68.00,774.00
374,0.38306,30.714,0.425391,32.76,68.00,774.00
375,0.0549946,29.669,0.135547,33.37,68.00,771.00
376,0.256298,42.496,0.182422,33.55,68.00,771.00
377,0.0477524,47.168,0.0347656,34.90,68.00,771.00
378,0.317348,42.249,0.328125,34.89,68.00,771.00
379,0.617053,44.579,0.299219,34.94,68.00,771.00
380,0.24041,39.221,0.260156,34.80,68.00,771.00
381,0.228505,51.054,0.0769531,36.17,68.00,771.00
382,0.282043,74.927,0.391797,38.80,68.00,771.00
383,0.581118,59.752,0.300781,37.27,68.00,770.00
384,0.310315,23.502,0.09375,37.36,68.00,770.00
385,0.619266,43.846,0,36.99,68.00,770.00
386,0.153533,27.041,0,36.92,68.00,770.00
387,0.243106,38.793,0,36.73,68.00,770.00
388,0.207899,28.310,0.0351562,36.87,68.00,770.00
389,0.82606,37.735,1.825,36.84,68.00,770.00
390,0.0961027,12.651,0.00546875,37.08,68.00,770.00
391,0.321342,35.437,0.123047,37.25,68.00,770.00
392,0.160232,26.640,0.0929688,37.05,68.00,770.00
393,0.275431,40.804,0.157422,37.22,68.00,770.00
394,0.410502,37.634,0.21875,37.14,68.00,770.00
395,0.351598,27.812,0.197266,36.99,68.00,770.00
396,0.12326,28.182,0.152734,36.80,68.00,770.00
397,0.0671492,20.621,0.0398438,36.81,68.00,771.00
398,0.377076,47.031,0.333984,37.20,68.00,771.00
399,0.423621,42.283,0.265625,37.10,68.00,771.00
400,0.143283,21.901,0.138672,37.23,68.00,771.00
401,0.265572,33.246,0.169141,37.13,68.00,771.00
402,0.161357,37.818,1.07109,36.81,68.00,771.00
403,0.656438,38.306,0.317969,37.29,68.00,771.00
404,0.345568,38.247,0.310156,37.10,68.00,771.00
405,0.335569,26.949,0.271875,37.03,68.00,771.00
406,0.359265,27.426,0.730859,37.19,68.00,771.00
407,0.0487957,35.527,0,37.24,68.00,771.00
408,0.522644,42.404,0.0132813,37.30,68.00,771.00
409,0.474189,39.148,0.0519531,37.09,68.00,774.00
410,0.163337,30.723,0,36.82,68.00,774.00
411,0.136611,35.807,0.0109375,36.86,68.00,774.00
412,0.625827,39.280,1.61406,37.23,68.00,774.00
413,0.0487537,30.512,0.166016,37.66,68.00,774.00
414,0.559324,49.702,0.223047,37.76,68.00,774.00
415,0.268741,36.637,0.174609,37.74,68.00,774.00
416,0.19492,34.090,0.286328,37.60,68.00,774.00
417,0.192505,38.506,0.275,37.61,68.00,774.00
418,0.0515909,31.321,0.217578,37.91,68.00,774.00
419,0.254716,34.527,0.148438,38.21,68.00,774.00
420,0.0543575,35.040,0.172656,38.29,68.00,774.00
421,0.202334,22.375,0.0914063,38.13,68.00,774.00
422,0.258689,22.930,0.0851563,38.14,68.00,774.00
423,0.100506,25.098,0.108984,38.00,68.00,774.00
424,0.207423,26.031,0.0976562,38.07,68.00,774.00
425,0.401353,30.268,0.270703,38.09,68.00,775.00
426,0.448905,31.561,0.175781,38.00,68.00,775.00
427,0.158476,26.679,0.109766,38.06,68.00,775.00
428,0.393899,36.770,0.154688,37.76,68.00,775.00
429,0.209045,42.289,0.242188,37.90,68.00,775.00
430,0.161308,41.706,0.295313,37.93,68.00,775.00
431,0.0252237,30.275,0.0816406,37.80,68.00,775.00
432,0.0876207,19.937,0.780469,37.85,68.00,775.00
433,0.0958958,23.427,0.109766,37.79,68.00,774.00
434,0.286032,28.442,0.199609,37.92,68.00,774.00
435,0.313177,37.724,0.499219,38.02,68.00,774.00
436,0.553093,39.221,0.357031,37.81,68.00,774.00
437,0.375537,39.013,0.346875,37.77,68.00,774.00
438,0.192141,39.034,0.196875,37.66,68.00,774.00
439,0.152419,29.484,0.0847656,37.83,68.00,774.00
440,0.222527,23.204,0.133984,37.92,68.00,771.00
441,0.179564,28.403,0.165625,37.99,68.00,771.00
442,0.0178757,13.401,0.0144531,38.25,68.00,771.00
443,0.396767,36.830,0.176953,38.03,68.00,771.00
444,0.226324,46.544,0.342188,38.12,68.00,771.00
445,0.317503,23.800,0.104297,38.19,68.00,771.00
446,0.410198,39.189,0.377734,38.21,68.00,771.00
447,0.357411,32.708,0.134766,38.00,68.00,772.00
448,0.295262,41.092,0.210938,38.13,68.00,772.00
449,0.288427,47.403,0.353516,38.02,68.00,772.00
450,0.119699,31.685,0.0738281,38.14,68.00,772.00
451,0.463064,30.661,0.278125,38.07,68.00,772.00
452,0.296513,27.672,0.452734,38.00,68.00,772.00
453,0.272409,24.442,0.167578,37.98,68.00,772.00
454,0.556609,38.289,0.257422,38.03,68.00,785.00
455,0.0412493,23.929,0.145313,37.88,68.00,785.00
456,0.210246,27.450,0.491797,37.84,68.00,785.00
457,0.655967,36.444,0.617969,37.78,68.00,785.00
458,0.162271,34.109,0.16875,38.03,68.00,785.00
459,0.395052,31.853,0.241797,37.86,68.00,785.00
460,0.152153,32.311,0.128516,38.00,68.00,785.00
461,0.406254,44.742,0.296094,38.04,68.00,775.00
462,0.503016,41.775,0.153516,38.28,68.00,775.00
463,0.218874,23.818,0.300781,38.35,68.00,775.00
464,0.14563,25.402,0.118359,38.09,68.00,775.00
465,0.169415,26.743,0.0648438,38.20,68.00,775.00
466,0.219691,29.782,0.208984,37.96,68.00,775.00
467,0.35638,40.663,0.258594,37.57,68.00,775.00
468,0.096096,29.880,0.110938,37.67,68.00,775.00
469,0.535588,26.714,0.645703,37.76,68.00,772.00
470,0.228784,41.405,0.132031,37.76,68.00,772.00
471,0.272608,27.180,0.251563,37.52,68.00,772.00
472,0.12378,46.266,0.233203,37.63,68.00,772.00
473,0.184194,45.564,0.23125,38.37,68.00,772.00
474,0.280416,59.093,0.220703,39.74,68.00,772.00
475,0.321605,50.032,0.134766,41.40,68.00,772.00
476,0.0401678,48.674,0.141406,42.88,68.00,772.00
477,0.524033,43.983,0.301172,40.37,68.00,777.00
478,0.117556,41.338,0,40.43,69.00,777.00
479,0.240458,39.664,0.0265625,40.35,69.00,777.00
480,0.364201,30.353,0.861328,40.38,69.00,777.00
481,0.0524197,46.238,0.1625,40.24,69.00,777.00
482,0.0975685,24.836,0.0484375,40.31,69.00,777.00
483,0.256061,26.984,0.110938,40.43,69.00,777.00
484,0.45489,27.224,0.108984,40.37,69.00,777.00
